Clapeyron Database File,,,,,,,
Antoine Like Parameters for saturation pressure,,,,,,,
CAS,species,A,B,C,Tmin,Tmax,source
7440-37-1,argon,8.74141,304.227,267.32,82.59,94.26,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
7726-95-6,bromine,9.0027,1119.68,221.38,266.0,354.25,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
13536-59-9,deuterium bromide,8.287279999999999,505.68,220.6,185.2,221.89,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
7787-71-5,bromine trifluoride,9.85464,1673.95,219.48,309.09,421.28,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
7789-30-2,bromine pentafluoride,9.398579999999999,1219.28,236.4,236.8,334.31,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
10035-10-6,hydrogen bromide,8.41243,540.82,225.44,185.1,221.53,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
353-59-3,r12b1~|~bromochlorodifluoromethane,8.9585,933.04,240.0,198.0,288.26,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
75-63-8,cf3br~|~r13b1~|~bromotrifluoromethane~|~trifluorobromomethane,8.8964,731.31,245.7,158.1,230.85,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
75-61-6,r12b2~|~dibromodifluoromethane,9.1878,1127.43,246.8,217.8,316.42,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
75-72-9,r13~|~chlorotrifluoromethane,8.90353,654.656,249.39,140.61,205.48,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
75-71-8,r12~|~dichlorodifluoromethane,9.01171,868.076,246.39,178.77,260.7,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
75-69-4,r11~|~cfcl3~|~trichlorofluoromethane,9.00905,1043.313,236.95,218.98,317.57,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
56-23-5,ccl4~|~tetrachloromethane~|~carbon tetrachloride,9.10445,1265.632,232.148,259.0,373.76,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
75-73-0,r14~|~perfluoromethane~|~tetrafluoromethane~|~carbon tetrafluoride,8.95894,510.595,257.2,106.2,155.54,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
1511-62-2,bromodifluoromethane,8.4003,640.32,204.1,194.5,275.65,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
75-45-6,r22~|~chf2cl~|~chlorodifluoromethane~|~difluorochloromethane,9.13253,835.462,243.46,173.13,247.74,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
75-43-4,r21~|~chfcl2~|~dichlorofluoromethane,9.02473,959.934,230.03,210.83,300.91,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
67-66-3,chcl3~|~chloroform~|~trichloromethane,8.96288,1106.904,218.552,250.1,356.89,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
75-46-7,r23~|~fluoroform~|~trifluoromethane,9.2214,707.396,249.84,142.79,203.75,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
75-09-2,dichloromethane,9.07622,1070.07,223.24,235.2,333.36,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
75-10-5,r32~|~difluoromethane,9.29712,833.137,245.86,166.23,235.78,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
74-87-3,r40~|~chloromethane~|~methyl chloride,9.16533,920.86,245.58,184.6,265.87,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
593-53-3,r41~|~fluoromethane~|~methyl fluoride,9.19421,734.222,253.57,144.17,208.17,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
74-82-8,methane,8.768699999999999,395.744,266.681,92.64,120.59,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
67-56-1,methanol,10.202770000000001,1580.08,239.5,262.59,356.0,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
74-93-1,methanethiol~|~methyl mercaptan,9.15653,1015.547,238.706,207.8,297.85,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
74-89-5,methylamine~|~methanamine,9.5442,1050.66,237.83,203.61,282.93,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
630-08-0,carbon monoxide,8.81912,291.743,267.996,69.73,88.08,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
354-51-8,"1,2-dibromo-2-chloro-1,1,2-trifluroethane~|~1,2-dibromo-1-chloro-1,2,2-trifluoroethane",8.84523,1166.348,209.87,272.65,392.37,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
76-15-3,"r115~|~chloroperfluoroethane~|~chloropentafluoroethane~|~1-chloro-1,1,2,2,2-pentafluoroethane",8.93652,795.212,241.37,172.89,250.52,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
374-07-2,"1,1-dichloro-1,2,2,2-tetrafluoroethane",8.83243,875.938,225.46,206.04,295.73,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
76-14-2,"r114~|~1,2-dichlorotetrafluoroethane~|~1,2-dichloro-1,1,2,2-tetrafluoroethane",8.93549,930.734,233.41,204.93,295.83,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
76-13-1,"r113~|~1,1,2-trichlorotrifluoroethane~|~1,1,2-trichloro-1,2,2-trifluoroethane",9.001339999999999,1107.71,229.64,237.83,342.87,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
76-16-4,r116~|~perfluoroethane~|~hexafluoroethane,8.68388,572.733,233.65,175.65,208.8,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
151-67-7,"halothane~|~2-bromo-2-chloro-1,1,1-trifluoroethane~|~1-bromo-1-chloro-2,2,2-trifluoroethane",9.20682,1199.262,235.29,240.92,344.91,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
354-06-3,"1-bromo-2-chloro-1,1.2-trifluoroethane",8.48366,841.141,189.3,246.15,348.14,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
354-25-6,"1-chloro-1,1,2,2-tetrafluoroethane",9.257100000000001,1006.84,248.6,193.6,279.06,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
2837-89-0,"r124~|~1-chloro-1,2,2,2-tetrafluoroethane~|~2-chloro-1,1,1,2-tetrafluoroethane",9.0536,900.49,234.389,222.0,286.0,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
306-83-2,"r123~|~2,2-dichloro-1,1,1-trifluoroethane~|~1,1-dichloro-2,2,2-trifluoroethane",9.21161,1132.447,241.59,223.16,321.15,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
354-33-6,r125~|~pentafluoroethane,9.13392,800.869,242.09,168.36,240.01,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
74-86-2,ethine~|~ethyne~|~acetylene,8.67374,528.67,228.79,191.44,201.11,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
811-97-2,"r134a~|~tetrafluoroethane~|~1,1,1,2-tetrafluoroethane",9.118739999999999,850.881,232.99,186.41,268.15,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
359-35-3,"r134~|~1,1,2,2-tetrafluoroethane",9.12013,885.597,235.9,190.05,269.75,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
75-68-3,"r142b~|~1-chloro-1,1-difluoroethane",9.05053,928.645,238.69,195.98,282.13,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
1717-00-6,"1,1-dichloro-1-fluoroethane (R-141b)",9.03117,1062.074,231.799,226.71,333.15,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
420-46-2,"r143a~|~1,1,1-trifluoroethane",9.068,801.34,244.55,167.55,241.33,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
430-66-0,"r143~|~1,1,2-trifluoroethane",9.13152,928.177,221.27,211.07,294.19,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
74-85-1,ethene~|~ethylene~|~1-ethylene,8.91382,596.526,256.37,123.06,181.9,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
75-34-3,"r150a~|~1,1-dichloroethane",9.1678,1201.05,231.27,246.6,352.49,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
107-06-2,1.2-dichloroethane,9.28356,1341.37,230.05,267.4,379.91,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
75-37-6,"r152a~|~difluoroethane~|~1,1-difluoroethane",8.75231,735.16,220.27,187.74,265.89,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
64-19-7,acetic acid,9.54456,1555.12,224.65,297.58,414.97,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
107-31-3,methylformate~|~methyl methanoate,9.29529,1125.2,230.56,230.3,324.29,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
74-96-4,bromoethane~|~ethyl bromide,9.04485,1090.811,231.71,231.35,332.8,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
75-00-3,chloroethane,9.09088,1020.63,237.57,211.86,304.89,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
353-36-6,r161~|~fluoroethane~|~ethyl fluoride,9.21998,897.368,250.66,174.1,251.47,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
74-84-0,ethane,8.95405,663.72,256.681,133.8,198.16,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
64-17-5,ethanol,10.33675,1648.22,230.918,276.5,369.54,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
115-10-6,dimethyl ether,9.44136,1025.56,256.05,184.1,264.8,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
75-08-1,ethanethiol (ethyl mercaptan),9.07696,1084.531,231.385,229.5,328.99,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
75-18-3,2-thiapropane~|~dimethylsulfide,9.07369,1090.755,230.799,231.3,331.47,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
75-04-7,ethanamine (ethyl amine),9.434000000000001,1102.88,232.45,220.53,307.55,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
74-99-7,propyne~|~1-propyne~|~methylacetylene,9.24555,935.09,243.58,186.87,266.63,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
463-49-0,"propadiene~|~1,2-propadiene",7.8386,458.06,196.07,178.0,257.0,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
115-07-1,propene (propylene),8.95606,789.624,247.58,165.2,241.61,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
75-19-4,cyclopropane,9.030840000000001,866.15,248.0,176.3,257.37,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
107-18-6,2-propenol~|~2-propen-1-ol~|~allyl alcohol,13.78252,4510.213,416.797,294.0,370.23,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
67-64-1,acetone~|~propanone,9.218399999999999,1197.01,228.06,247.38,350.65,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
79-09-4,propanoic acid,9.754660000000001,1662.582,209.046,321.72,437.41,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
79-20-9,methylacetate~|~methyl ethanoate,9.186209999999999,1156.43,219.69,249.9,351.11,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
109-94-4,ethylformate~|~ethyl methanoate~|~formic acid ethyl ester,9.078990000000001,1101.0,215.98,247.8,348.6,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
540-54-5,propyl chloride~|~1-chloropropane,9.076550000000001,1125.009,229.86,238.09,341.29,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
74-98-6,propane~|~n-propane,8.92828,803.997,247.04,168.9,247.76,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
71-23-8,propanol~|~1-propanol~|~propan-1-ol,9.99991,1512.94,205.807,293.19,389.32,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
67-63-0,2-propanol~|~propan-2-ol~|~isopropanol,10.24268,1580.92,219.61,281.28,373.46,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
540-67-0,methylethylether~|~ethyl methyl ether,8.00683,504.49,160.75,232.0,298.85,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
624-89-5,2-thiabutane~|~(methylthio)-ethane~|~methyl ethyl sulfide~|~ethyl methyl sulfide,9.06339,1182.562,224.784,253.5,362.68,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
107-10-8,propylamine~|~n-propylamine~|~1-propylamine~|~propan-1-amine,9.3444,1186.39,226.21,258.31,340.36,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
75-31-0,2-propylamine~|~2-propanamine~|~isopropylamine,9.055299999999999,1005.49,216.51,231.38,324.47,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
110-00-9,furan,9.119900000000001,1070.2,830.0,228.2,324.56,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
110-02-1,thiophene,9.08416,1246.02,221.35,267.2,381.16,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
107-00-6,1-butyne,9.16676,1014.45,235.74,210.35,299.83,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
106-99-0,"butadiene~|~1,3-butadiene",8.9664,927.21,238.63,198.0,287.49,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
287-23-0,cyclobutane,9.044360000000001,1025.5,241.43,210.2,305.67,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
106-98-9,butene~|~1-butene,8.9178,908.8,238.54,196.41,285.88,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
624-64-6,(e)-2-butene~|~trans-2-butene,9.00827,967.5,240.84,201.83,293.29,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
590-18-1,(z)-2-butene~|~cis-2-butene,9.00958,967.32,237.873,204.73,296.11,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
115-11-7,isobutene~|~isobutylene~|~2-methylpropene,8.80956,866.25,234.64,195.77,285.41,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
78-93-3,butanone~|~2-butanone~|~methyl ethyl ketone,9.1386,1232.63,218.69,265.62,375.66,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
109-99-9,thf~|~tetrahydrofuran,9.12142,1203.11,226.355,253.5,361.71,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
107-92-6,butyric acid~|~butanoic acid~|~n-butyric acid~|~n-butanoic acid,9.8234,1731.708,195.955,342.7,460.12,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
79-31-2,isobutyric acid~|~2-methylpropanoic acid,8.71153,1097.83,141.74,334.0,453.31,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
554-12-1,methylpropionate~|~methyl propanoate,8.987449999999999,1129.57,204.24,267.5,375.32,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
141-78-6,ethylacetate~|~ethyl ethanoate,9.133610000000001,1195.13,212.47,265.5,372.51,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
110-74-7,propylformate~|~n-propylformate~|~propyl methanoate~|~n-propylmethanoate~|~formic acid propyl ester,8.97008,1132.3,204.08,268.9,377.68,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
78-86-4,2-chlorobutane~|~sec-butyl chloride,9.1222,1245.2,234.4,252.6,364.62,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
106-97-8,butane~|~n-butane,8.93266,935.773,238.789,200.5,292.03,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
75-28-5,isobutane~|~2-methylpropane,9.00272,947.54,248.87,190.4,280.25,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
71-36-3,butanol~|~n-butanol~|~1-butanol~|~butan-1-ol,9.6493,1395.14,182.739,310.18,411.26,"B. E. Poling et al., 5th, ed. McGraw-Hill, New York (2001)"
