Clapeyron Database File,,,,,
Born Like Parameters,,,,,
species,sigma_born,source
H3O+,3.0063,
lithium~|~Li+,2.632,
sodium~|~Na+,3.3600,
potassium~|~K+,4.344,
rubidium~|~Rb+,4.622,
magnesium~|~Mg2+,2.91,
calcium~|~Ca2+,3.724,
strontium~|~Sr2+,4.108,
barium~|~Ba2+,4.238,
N+,3.2908,
OH-,3.0063,
fluoride~|~F-,2.846,
chloride~|~Cl-,3.8740,
bromide~|~Br-,4.174,
iodide~|~I-,4.686,
COO-,4.6364,
hydron sulfate~|~HSO4-,4.4084,
sulfate~|~SO42-,5.16,
hydrogen nitrate~|~HNO3-,3.619,
nitrate~|~NO3-,4,
hydrogen carbonate~|~HCO3-,4.3,
[C2MIM]+,3.5926,
[BF4]-,3.5088,
[PF6]-,3.5889,
[Tf2N]-,3.7469,
Ac-,3.9328,
